USER         LWP    PPID NLWP
root           1       0    1
root           2       0    1
root           3       2    1
root           4       2    1
root           5       2    1
root           6       2    1
root           8       2    1
root          10       2    1
root          11       2    1
root          12       2    1
root          13       2    1
root          14       2    1
root          15       2    1
root          16       2    1
root          17       2    1
root          19       2    1
root          20       2    1
root          21       2    1
root          22       2    1
root          23       2    1
root          25       2    1
root          26       2    1
root          27       2    1
root          28       2    1
root          29       2    1
root          31       2    1
root          32       2    1
root          33       2    1
root          34       2    1
root          35       2    1
root          37       2    1
root          38       2    1
root          39       2    1
root          40       2    1
root          41       2    1
root          43       2    1
root          45       2    1
root          46       2    1
root          47       2    1
root          48       2    1
root          49       2    1
root          50       2    1
root          51       2    1
root          54       2    1
root          55       2    1
root          56       2    1
root          57       2    1
root          58       2    1
root          59       2    1
root          60       2    1
root          61       2    1
root          62       2    1
root          68       2    1
root          74       2    1
root          75       2    1
root          76       2    1
root          78       2    1
root          79       2    1
root          80       2    1
root          85       2    1
root          91       2    1
root          92       2    1
root         140       2    1
root         191       2    1
root         193       2    1
root         195       2    1
root         196       2    1
root         197       2    1
root         198       2    1
root         199       2    1
root         200       2    1
root         201       2    1
root         202       2    1
root         228       2    1
root         229       2    1
root         268       1    1
root         319       1    1
root         363       2    1
root         407       2    1
root         414       2    1
root         415       2    1
root         473       2    1
root         474       2    1
systemd+     506       1    1
systemd+     511       1    1
systemd+     512       1    2
systemd+     551       1    2
root         617       1    3
root         669       1    3
root         712       1    3
avahi        620       1    1
root         621       1    1
message+     622       1    1
root         630       1    2
root         644       1    2
root         645       1    3
root         655       1    3
root         711       1    3
root         650       1    3
root         668       1    3
root         717       1    3
syslog       651       1    4
syslog       680       1    4
syslog       681       1    4
syslog       682       1    4
root         656       1    3
root         671       1    3
root         715       1    3
root         657       1    1
root         658       1    3
root         709       1    3
root         723       1    3
root         660       1    5
root         688       1    5
root         716       1    5
root         731       1    5
root         757       1    5
avahi        667     620    1
root         713       1    3
root         750       1    3
root         751       1    3
root         714       1    1
root         724       1    3
root         732       1    3
root         736       1    3
root         753       1    1
root         755       1    1
root         759       1    2
root         796       1    2
root         775       1    3
root         776       1    3
root         777       1    3
rtkit        821       1    3
rtkit        824       1    3
rtkit        825       1    3
root        1025       1    3
root        1052       1    3
root        1053       1    3
root        1101       1    3
root        1102       1    3
root        1103       1    3
colord      1109       1    3
colord      1118       1    3
colord      1120       1    3
root        1305       2    1
root        1357       1    3
root        1365       1    3
root        1366       1    3
kernoops    1360       1    1
kernoops    1362       1    1
root        1423     775    3
root        1424     775    3
root        1425     775    3
mario       1427       1    1
mario       1428    1427    1
mario       1434    1427    2
mario       1506    1427    2
mario       1437    1427    4
mario       1502    1427    4
mario       1508    1427    4
mario       1515    1427    4
mario       1438    1427    2
mario       1505    1427    2
mario       1444    1427    1
mario       1448    1427    4
mario       1464    1427    4
mario       1465    1427    4
mario       1471    1427    4
mario       1449    1427    3
mario       1458    1427    3
mario       1459    1427    3
mario       1462    1427    6
mario       1467    1427    6
mario       1468    1427    6
mario       1469    1427    6
mario       1472    1427    6
mario       1479    1427    6
mario       1480    1427    6
mario       1481    1427    6
mario       1482    1427    6
mario       1488    1427    6
mario       1490    1427    6
mario       1491    1427    6
mario       1483    1427    3
mario       1484    1427    3
mario       1486    1427    3
root        1489    1480    1
mario       1513    1427    6
mario       1516    1427    6
mario       1517    1427    6
mario       1518    1427    6
mario       1519    1427    6
mario       1575    1427    6
mario       1520    1427    4
mario       1521    1427    4
mario       1522    1427    4
mario       1523    1427    4
mario       1525    1427    3
mario       1526    1427    3
mario       1528    1427    3
mario       1529    1427    3
mario       1530    1427    3
mario       1532    1427    3
mario       1533    1427    4
mario       1534    1427    4
mario       1535    1427    4
mario       1537    1427    4
mario       1538    1427    3
mario       1539    1427    3
mario       1540    1427    3
mario       1542    1427    4
mario       1549    1427    4
mario       1554    1427    4
mario       1556    1427    4
mario       1544    1423    3
mario       1545    1423    3
mario       1546    1423    3
mario       1547    1544    3
mario       1597    1544    3
mario       1598    1544    3
mario       1561    1427    3
mario       1563    1427    3
mario       1565    1427    3
mario       1603    1427    2
mario       1608    1427    2
mario       1604    1427    2
mario       1610    1427    2
mario       1606    1427    1
mario       1616    1427    4
mario       1622    1427    4
mario       1623    1427    4
mario       1625    1427    4
mario       1640    1616    4
mario       1644    1616    4
mario       1645    1616    4
mario       1647    1616    4
mario       1642    1427   17
mario       1651    1427   17
mario       1653    1427   17
mario       1659    1427   17
mario       1660    1427   17
mario       1661    1427   17
mario       1662    1427   17
mario       1665    1427   17
mario       1669    1427   17
mario       1671    1427   17
mario       1672    1427   17
mario       1705    1427   17
mario       1706    1427   17
mario       1707    1427   17
mario       1708    1427   17
mario       2293    1427   17
mario       8672    1427   17
mario       1649    1640    1
mario       1723    1427    6
mario       1724    1427    6
mario       1726    1427    6
mario       1728    1427    6
mario       1729    1427    6
mario       1746    1427    6
mario       1730    1427    4
mario       1731    1427    4
mario       1732    1427    4
mario       1733    1427    4
mario       1738    1427    3
mario       1739    1427    3
mario       1740    1427    3
mario       1747    1427    9
mario       1748    1427    9
mario       1749    1427    9
mario       1750    1427    9
mario       1751    1427    9
mario       1752    1427    9
mario       1754    1427    9
mario       1755    1427    9
mario       1758    1427    9
mario       1756    1427    6
mario       1759    1427    6
mario       1760    1427    6
mario       1762    1427    6
mario       1763    1427    6
mario       1765    1427    6
mario       1771    1449    3
mario       1772    1449    3
mario       1773    1449    3
mario       1786    1427    7
mario       1790    1427    7
mario       1793    1427    7
mario       1794    1427    7
mario       1795    1427    7
mario       1796    1427    7
mario       1797    1427    7
mario       1788    1427    3
mario       1791    1427    3
mario       1792    1427    3
mario       1799    1427    1
mario       1800    1427    4
mario       1803    1427    4
mario       1817    1427    4
mario       1835    1427    4
mario       1802    1427    4
mario       1829    1427    4
mario       1831    1427    4
mario       1856    1427    4
mario       1805    1799    3
mario       1808    1799    3
mario       1828    1799    3
mario       1806    1427    4
mario       1844    1427    4
mario       1877    1427    4
mario       1906    1427    4
mario       1807    1427    4
mario       1810    1427    4
mario       1825    1427    4
mario       1848    1427    4
mario       1809    1427    4
mario       1816    1427    4
mario       1823    1427    4
mario       1845    1427    4
mario       1811    1427    4
mario       1865    1427    4
mario       1867    1427    4
mario       1887    1427    4
mario       1813    1427    4
mario       1838    1427    4
mario       1841    1427    4
mario       1873    1427    4
mario       1814    1427    3
mario       1822    1427    3
mario       1846    1427    3
mario       1815    1427    3
mario       1826    1427    3
mario       1875    1427    3
mario       1818    1427    3
mario       1842    1427    3
mario       1874    1427    3
mario       1820    1427    4
mario       1821    1427    4
mario       1824    1427    4
mario       1857    1427    4
mario       1840    1427    4
mario       1851    1427    4
mario       1878    1427    4
mario       1904    1427    4
mario       1847    1427    4
mario       1863    1427    4
mario       1881    1427    4
mario       1903    1427    4
mario       1849    1427    4
mario       1868    1427    4
mario       1871    1427    4
mario       1880    1427    4
mario       1850    1616    3
mario       1854    1616    3
mario       1883    1616    3
mario       1870    1616    6
mario       1937    1616    6
mario       1939    1616    6
mario       1940    1616    6
mario       2008    1616    6
mario       2012    1616    6
mario       1889    1805    4
mario       1892    1805    4
mario       1896    1805    4
mario       1909    1805    4
mario       1890    1805    4
mario       1917    1805    4
mario       1920    1805    4
mario       1921    1805    4
mario       1894    1427    3
mario       1911    1427    3
mario       1918    1427    3
mario       1955    1427    3
mario       1956    1427    3
mario       1957    1427    3
mario       1966    1805    3
mario       1967    1805    3
mario       1968    1805    3
mario       1973    1427    6
mario       1974    1427    6
mario       1975    1427    6
mario       2027    1427    6
mario       2090    1427    6
mario       2103    1427    6
mario       1995    1427    7
mario       1997    1427    7
mario       1998    1427    7
mario       1999    1427    7
mario       2000    1427    7
mario       2001    1427    7
mario       2002    1427    7
mario       2028    1427    4
mario       2029    1427    4
mario       2031    1427    4
mario       2032    1427    4
mario       2033    1427    1
mario       2124    2033    4
mario       2125    2033    4
mario       2126    2033    4
