    PID USER     S %CPU %MEM
      1 root     S  0.0  0.1
      2 root     S  0.0  0.0
      3 root     I  0.0  0.0
      4 root     I  0.0  0.0
      5 root     I  0.0  0.0
      6 root     I  0.0  0.0
      8 root     I  0.0  0.0
     10 root     I  0.0  0.0
     11 root     I  0.0  0.0
     12 root     I  0.0  0.0
     13 root     I  0.0  0.0
     14 root     S  0.0  0.0
     15 root     I  0.0  0.0
     16 root     S  0.0  0.0
     17 root     S  0.0  0.0
     19 root     S  0.0  0.0
     20 root     S  0.0  0.0
     21 root     S  0.0  0.0
     22 root     S  0.0  0.0
     23 root     S  0.0  0.0
     25 root     I  0.0  0.0
     26 root     S  0.0  0.0
     27 root     S  0.0  0.0
     28 root     S  0.0  0.0
     29 root     S  0.3  0.0
     31 root     I  0.0  0.0
     32 root     S  0.0  0.0
     33 root     S  0.0  0.0
     34 root     S  0.0  0.0
     35 root     S  0.0  0.0
     37 root     I  0.0  0.0
     38 root     S  0.0  0.0
     39 root     I  0.0  0.0
     40 root     S  0.0  0.0
     41 root     S  0.0  0.0
     43 root     S  0.0  0.0
     45 root     I  0.0  0.0
     46 root     S  0.0  0.0
     47 root     S  0.0  0.0
     48 root     S  0.0  0.0
     49 root     I  0.0  0.0
     50 root     I  0.0  0.0
     51 root     I  0.0  0.0
     54 root     I  0.0  0.0
     55 root     I  0.0  0.0
     56 root     I  0.0  0.0
     57 root     I  0.0  0.0
     58 root     I  0.0  0.0
     59 root     S  0.0  0.0
     60 root     I  0.0  0.0
     61 root     S  0.0  0.0
     62 root     S  0.0  0.0
     68 root     I  0.0  0.0
     74 root     I  0.0  0.0
     75 root     S  0.0  0.0
     76 root     I  0.0  0.0
     78 root     I  0.0  0.0
     79 root     I  0.0  0.0
     80 root     I  0.0  0.0
     85 root     I  0.0  0.0
     91 root     I  0.0  0.0
     92 root     I  0.1  0.0
    140 root     I  0.0  0.0
    191 root     I  0.0  0.0
    193 root     I  0.0  0.0
    195 root     S  0.0  0.0
    196 root     I  0.0  0.0
    197 root     S  0.0  0.0
    198 root     I  0.0  0.0
    199 root     S  0.0  0.0
    200 root     I  0.0  0.0
    201 root     S  0.0  0.0
    202 root     I  0.0  0.0
    228 root     S  0.0  0.0
    229 root     I  0.0  0.0
    268 root     S  0.0  1.1
    319 root     S  0.0  0.0
    363 root     S  0.0  0.0
    407 root     I  0.0  0.0
    414 root     I  0.0  0.0
    415 root     I  0.0  0.0
    473 root     S  0.0  0.0
    474 root     S  0.0  0.0
    506 systemd+ S  0.1  0.0
    511 systemd+ S  0.0  0.1
    512 systemd+ S  0.0  0.0
    617 root     S  0.0  0.0
    620 avahi    S  0.0  0.0
    621 root     S  0.0  0.0
    622 message+ S  0.0  0.0
    630 root     S  0.0  0.0
    645 root     S  0.0  0.1
    650 root     S  0.0  0.0
    651 syslog   S  0.0  0.0
    656 root     S  0.0  0.0
    657 root     S  0.0  0.1
    658 root     S  0.0  0.1
    660 root     S  0.0  0.1
    667 avahi    S  0.0  0.0
    713 root     S  0.0  0.2
    714 root     S  0.0  0.1
    724 root     S  0.0  0.1
    753 root     S  0.0  0.1
    755 root     S  0.0  0.5
    759 root     S  0.0  0.2
    775 root     S  0.0  0.1
    821 rtkit    S  0.0  0.0
   1025 root     S  0.0  0.0
   1101 root     S  0.0  0.2
   1109 colord   S  0.0  0.1
